Player,Position,Price,form
Nikola Jokic,C,21.5,51.65
Luka Doncic,PG,21.4,65.175
Joel Embiid,C,21,66.85
Giannis Antetokounmpo,PF,20.3,63.4
Shai Gilgeous-Alexander,PG,18.8,56.275
Anthony Davis,C,18.7,55.8
LeBron James,SF,18.1,49.4
Tyrese Haliburton,PG,18.1,52.725
Jayson Tatum,SF,17.8,52.025
LaMelo Ball,PG,17.6,
Kevin Durant,PF,17.5,49.975
Devin Booker,PG,17.1,41.725
Trae Young,PG,17,52.25
Stephen Curry,PG,16.8,40.525
Domantas Sabonis,C,16.7,53.1
Damian Lillard,PG,16.6,40.45
Anthony Edwards,SG,16.5,50.625
Donovan Mitchell,SG,16.3,46.425
Ja Morant,PG,16.2,46.35
James Harden,PG,15.9,44.225
De'Aaron Fox,PG,15.9,44.3
Paul George,SF,15.6,39.675
Kyrie Irving,SG,15.5,51.05
Julius Randle,PF,15.5,45.375
Karl-Anthony Towns,PF,15.5,33.075
Victor Wembanyama,PF,15.3,44.175
Kawhi Leonard,SF,15.1,44.3
Scottie Barnes,SF,14.9,45.875
Desmond Bane,SG,14.9,40.075
Jalen Brunson,PG,14.7,45.475
Lauri Markkanen,PF,14.6,42.025
Cade Cunningham,PG,14.5,46.75
Zion Williamson,PF,14.5,35.275
Zach LaVine,SG,14.5,26.75
Bam Adebayo,C,14.3,43.625
Jamal Murray,PG,14.3,44.525
Pascal Siakam,PF,14.2,42.075
Tyrese Maxey,PG,14.2,42.925
Brandon Ingram,SF,14.2,39.3
Paolo Banchero,PF,14.1,49.475
Jaylen Brown,SG,14.1,38.425
Dejounte Murray,SG,14.1,37.775
Jimmy Butler,SF,14,20.875
Mikal Bridges,SF,14,31.2
Darius Garland,PG,13.8,
DeMar DeRozan,SF,13.8,38.425
Fred VanVleet,PG,13.8,38.5
Alperen Sengun,C,13.8,46.05
Evan Mobley,PF,13.7,
Anfernee Simons,SG,13.5,39.975
Kyle Kuzma,PF,13.5,34.775
Terry Rozier,PG,13.3,44.925
Nikola Vucevic,C,13.3,34.9
Jaren Jackson Jr.,PF,13.2,34.6
CJ McCollum,SG,13.1,36.7
Kristaps Porzingis,PF,13,40.225
Deandre Ayton,C,13,37.225
Tyler Herro,SG,12.7,39.125
Jordan Poole,SG,12.7,25.35
Jrue Holiday,PG,12.6,32.6
Bradley Beal,SG,12.5,32.625
Rudy Gobert,C,12.3,32.425
Franz Wagner,SF,12.2,39.725
Spencer Dinwiddie,PG,12.2,25.875
Josh Giddey,SG,12.1,28.95
Keldon Johnson,SF,12,31.475
Jerami Grant,PF,12,30.35
Russell Westbrook,PG,12,26.75
Chet Holmgren,PF,11.9,36.475
Jalen Green,SG,11.9,29.375
Miles Bridges,SF,11.8,40.1
Myles Turner,C,11.8,33.525
Jonas Valanciunas,C,11.7,29.975
Aaron Holiday,PG,11.7,13.05
Jalen Williams,SF,11.6,35.25
Jarrett Allen,C,11.5,44.725
Jusuf Nurkic,C,11.5,34.625
Wendell Carter Jr.,C,11.5,17.95
Nicolas Claxton,C,11.5,
Clint Capela,C,11.3,32.225
Walker Kessler,C,11.3,25.725
OG Anunoby,SF,11.1,24.05
Derrick White,SG,11,38.325
Khris Middleton,SF,11,33.825
Devin Vassell,SG,11,34.275
Jabari Smith Jr.,PF,11,30.775
Aaron Gordon,PF,11,27.8
John Collins,PF,11,23.325
Draymond Green,PF,11,
Markelle Fultz,PG,11,10
Tyus Jones,PG,10.9,29.825
Klay Thompson,SG,10.9,28.625
D'Angelo Russell,PG,10.7,22.85
Malcolm Brogdon,PG,10.6,29.25
Michael Porter Jr.,SF,10.5,26.55
Jakob Poeltl,C,10.4,27.75
Jalen Duren,C,10.3,35.6
Austin Reaves,SG,10.3,30.825
Scoot Henderson,PG,10.3,28.7
Marcus Smart,PG,10.3,29.45
Ben Simmons,PG,10.2,
Jordan Clarkson,SG,10.1,32.825
RJ Barrett,SF,10.1,30.475
Brook Lopez,C,10.1,26.15
Buddy Hield,SF,10.1,24.125
Shaedon Sharpe,SF,10.1,17.6
Ivica Zubac,C,10,32.25
Chris Paul,PG,10,27.6
Cameron Johnson,PF,10,27.35
Gordon Hayward,SF,10,20.55
Zach Collins,C,10,29.75
Tobias Harris,SF,9.9,35
Dennis SchrÃ¶der,PG,9.9,28.35
Keegan Murray,PF,9.8,27.625
Daniel Gafford,C,9.8,27.425
Jaden Ivey,SG,9.8,31.55
Deni Avdija,SF,9.8,30.675
P.J. Washington,PF,9.8,25.4
Mike Conley,PG,9.7,26.3
Immanuel Quickley,PG,9.7,27.825
Bennedict Mathurin,SG,9.7,25.1
Amen Thompson,SG,9.7,15
Andrew Wiggins,SF,9.6,18.5
Bojan Bogdanovic,SF,9.5,31.05
Tim Hardaway Jr.,SF,9.5,26.6
Bobby Portis,PF,9.5,24.75
Onyeka Okongwu,C,9.5,23.375
Trey Murphy III,SF,9.5,21.55
Isaiah Stewart,PF,9.5,31.625
Bruce Brown,SG,9.5,20.45
Tre Jones,PG,9.5,23.125
Kyle Anderson,SF,9.5,16.175
Bismack Biyombo,C,9.5,15.75
Mark Williams,C,9.5,
Ausar Thompson,SG,9.4,13.25
Collin Sexton,PG,9.3,32.95
Bogdan Bogdanovic,SG,9.3,30.025
Coby White,SG,9.2,35.625
Jeremy Sochan,PF,9.2,27.175
Luguentz Dort,SF,9.2,24.7
Brandon Miller,SF,9.2,22.675
Dillon Brooks,SF,9.2,20.7
Josh Hart,SG,9.2,21.725
Kevon Looney,C,9.2,14.925
Kevin Huerter,SG,9.2,14.025
Caris LeVert,SF,9,33.375
Saddiq Bey,PF,9,27.75
De'Andre Hunter,SF,9,26.625
Kelly Olynyk,PF,9,24.15
Cole Anthony,PG,9,26.4
Caleb Martin,PF,9,16.175
De'Anthony Melton,SG,9,25.8
Naz Reid,C,9,20.95
Norman Powell,SG,9,21.4
Kyle Lowry,PG,9,16.75
Marvin Bagley III,PF,9,15.95
James Wiseman,C,9,13.075
Christian Wood,PF,9,15.85
Grant Williams,PF,9,16
Jarace Walker,PF,9,4.025
Mitchell Robinson,C,9,
Obi Toppin,PF,8.8,21.65
Cam Thomas,SG,8.7,21.825
Kelly Oubre,SF,8.7,24.575
Gary Trent Jr.,SG,8.6,24.95
Tari Eason,SF,8.5,28.875
Malik Monk,SG,8.5,28.7
Jalen Suggs,SG,8.5,27.625
Al Horford,C,8.5,28.125
Jonathan Kuminga,PF,8.5,27.15
Donte DiVincenzo,SG,8.5,26.45
Kris Dunn,PG,8.5,21.2
Jaden McDaniels,PF,8.5,21.275
Rui Hachimura,PF,8.5,18.225
Herbert Jones,SF,8.5,17.525
Taylor Hendricks,PF,8.5,6.025
Kenyon Martin Jr.,SF,8.5,
Kentavious Caldwell-Pope,SG,8.4,21.475
Harrison Barnes,SF,8.4,18.1
Jalen Johnson,PF,8.3,37.875
Max Strus,SG,8.3,28.75
Santi Aldama,PF,8.3,17.325
Kevin Love,PF,8,26.675
Talen Horton-Tucker,SF,8,25.875
Alex Caruso,SG,8,25.375
T.J. McConnell,PG,8,20.35
Patrick Williams,PF,8,20.75
Dennis Smith Jr.,PG,8,23.325
Keyonte George,SG,8,19.125
Malik Beasley,SG,8,16.65
Cam Whitmore,SF,8,18.325
Andrew Nembhard,PG,8,18.3
Moritz Wagner,PF,8,21.4
Corey Kispert,SF,8,17.45
Terance Mann,PG,8,14
Anthony Black,SG,8,13.425
Jonathan Isaac,PF,8,15.7
Killian Hayes,PG,8,12.4
Quentin Grimes,SG,8,12.95
Drew Eubanks,C,8,10.975
Seth Curry,SG,8,9.925
Cameron Payne,PG,8,10.625
Vasilije Micic,PG,8,10.35
Mason Plumlee,C,8,10.5
Jarred Vanderbilt,PF,8,10.775
Sasha Vezenkov,PF,8,8.225
Gabe Vincent,PG,8,9.25
Jalen McDaniels,PF,8,7.6
Shake Milton,PG,8,4.05
Monte Morris,PG,8,
Isaiah Hartenstein,C,7.8,32.3
Duncan Robinson,SG,7.8,24.05
Doug McDermott,SF,7.7,6.475
Grayson Allen,SG,7.5,31.075
Andre Drummond,C,7.5,33.8
Larry Nance Jr.,PF,7.5,23.5
Taurean Prince,SF,7.5,22.75
Simone Fontecchio,SF,7.5,21.275
Goga Bitadze,C,7.5,21.75
Ayo Dosunmu,PG,7.5,22.05
Jalen Smith,PF,7.5,19.9
Josh Richardson,SG,7.5,22
Bilal Coulibaly,SG,7.5,17.5
Reggie Jackson,PG,7.5,18.45
Isaiah Jackson,PF,7.5,14.625
Dorian Finney-Smith,SF,7.5,19
Paul Reed,PF,7.5,20.5
Royce O'Neale,SF,7.5,18.025
Trey Lyles,PF,7.5,16.45
Alec Burks,SG,7.5,21.025
Luke Kennard,SG,7.5,16.75
Naji Marshall,SF,7.5,13.875
Jose Alvarado,PG,7.5,13.725
Marcus Morris Sr.,PF,7.5,13.725
Torrey Craig,SF,7.5,
Georges Niang,SF,7.5,19.075
Christian Braun,SG,7.5,13.55
Cedi Osman,SF,7.5,12.925
Nickeil Alexander-Walker,SG,7.5,12.95
Dwight Powell,C,7.5,15.925
Precious Achiuwa,PF,7.5,11.95
Pat Connaughton,SG,7.5,13.275
Kevin Knox II,SG,7.5,16.8
Ochai Agbaji,SG,7.5,11.95
Xavier Tillman Sr.,C,7.5,12.775
Chris Boucher,PF,7.5,15.525
Dyson Daniels,PG,7.5,14.25
Jae'Sean Tate,SF,7.5,11.75
Daniel Theis,C,7.5,12.325
Mike Muscala,C,7.5,14.625
Gary Harris,SG,7.5,14.35
Josh Okogie,SF,7.5,11.125
Kenrich Williams,PF,7.5,13.15
Mo Bamba,C,7.5,12.25
Nassir Little,SF,7.5,7.3
Richaun Holmes,C,7.5,13.475
Jeremiah Robinson-Earl,C,7.5,12.825
Bol Bol,C,7.5,13.4
Jaylin Williams,C,7.5,8.15
Landry Shamet,SG,7.5,9.6
Thomas Bryant,C,7.5,7.575
Devonte' Graham,PG,7.5,9.875
Zeke Nnaji,PF,7.5,7.625
Chris Duarte,SF,7.5,8.95
Sandro Mamukelashvili,PF,7.5,9.85
Keita Bates-Diop,SF,7.5,11.275
Otto Porter Jr.,SF,7.5,7.725
Jordan Hawkins,SG,7.5,11.75
Jordan Nwora,PF,7.5,5.375
Troy Brown Jr.,SF,7.5,4.5
Bones Hyland,PG,7.5,5.4
Davion Mitchell,PG,7.5,5.8
Reggie Bullock,SF,7.5,5.85
Joe Harris,SF,7.5,5.875
Patty Mills,PG,7.5,3.9
Jett Howard,SF,7.5,3.5
Johnny Davis,SG,7.5,1.375
Maxi Kleber,PF,7.5,
Jae Crowder,PF,7.5,
Victor Oladipo,SG,7.5,
Dante Exum,PG,7.3,24.375
Derrick Jones Jr.,SF,7.3,22.35
Dario Saric,PF,7.3,21
Nick Richards,C,7,25.55
Aaron Nesmith,SF,7,25.25
Day'Ron Sharpe,C,7,24.975
Evan Fournier,SG,7,22
Malaki Branham,SG,7,16.4
Isaac Okoro,SF,7,21.8
Payton Pritchard,PG,7,19.725
Cody Martin,SG,7,19.475
Eric Gordon,SG,7,20.95
Matisse Thybulle,SF,7,16.2
Josh Green,SF,7,15.975
DeAndre Jordan,C,7,16
Cam Reddish,SF,7,13.6
Joe Ingles,SF,7,
Tristan Thompson,C,7,14.95
Nicolas Batum,PF,7,15
Trendon Watford,PF,7,11.5
Ziaire Williams,SF,7,15.175
Nick Smith Jr.,PG,7,13.8
Ish Smith,PG,7,14.425
Delon Wright,PG,7,13.375
Haywood Highsmith,SF,7,15.1
Patrick Beverley,PG,7,14.65
Isaiah Joe,SG,7,13
John Konchar,SG,7,11.65
Jordan Goodwin,PG,7,6.05
Jeff Green,PF,7,10.225
Oshae Brissett,PF,7,13.075
Kris Murray,PF,7,8.45
Bryce McGowens,SG,7,11.3
Amir Coffey,PF,7,10.475
Julian Champagnie,SF,7,12.675
Jevon Carter,SG,7,11.925
David Roddy,SF,7,7.4
Malachi Flynn,PG,7,7.8
Isaiah Livers,SF,7,9.775
Robert Covington,SF,7,10.05
Ousmane Dieng,SF,7,7.95
Aaron Wiggins,SG,7,10.825
Justin Holiday,SF,7,5.45
Chuma Okeke,PF,7,11.975
Jordan McLaughlin,PG,7,12.125
Markieff Morris,PF,7,5
Blake Wesley,SG,7,8.575
Danilo Gallinari,PF,7,7.45
Andre Jackson,SG,7,5.125
JaVale McGee,C,7,8.8
Brandon Williams,PG,7,7.45
Cody Zeller,C,7,7.025
Ã–mer Yurtseven,C,7,3.225
Jaxson Hayes,C,7,4.25
Jock Landale,C,7,6.4
JT Thor,PF,7,5.975
Gary Payton II,SF,7,5.25
Davis Bertans,PF,7,3.675
AJ Griffin,SF,7,2.5
Gradey Dick,SG,7,3.5
Jalen Hood-Schifino,PG,7,3.875
Yuta Watanabe,PF,7,2.5
Tre Mann,PG,7,1.35
Kenneth Lofton Jr.,PF,7,1.5
Aleksej Pokusevski,PF,7,
Jeenathan Williams,SF,7,
Josh Christopher,SG,7,
TyTy Washington Jr.,PG,7,
P.J. Tucker,PF,7,
Damion Lee,SG,7,
Christian Koloko,C,7,
Theo Maledon,PG,7,
Jaime Jaquez Jr.,SF,6.8,27.25
Dean Wade,PF,6.8,16.05
Brandin Podziemski,SG,6.6,28.25
Dereck Lively II,C,6.5,22.05
Craig Porter Jr.,PG,6.5,21.125
Noah Clowney,PF,6.5,21.5
Jabari Walker,PF,6.5,22.7
Sam Merrill,SG,6.5,22.375
Keon Johnson,SG,6.5,19.25
Jaden Hardy,SG,6.5,19.075
Peyton Watson,SF,6.5,19.35
Luke Kornet,C,6.5,19.95
Nikola Jovic,SF,6.5,15.75
Sam Hauser,SF,6.5,13.85
Derrick Rose,PG,6.5,6.5
Julian Strawther,SF,6.5,11.05
Cason Wallace,PG,6.5,13.675
Keon Ellis,SG,6.5,11.025
Jared Butler,SG,6.5,10.95
Moses Moody,SG,6.5,12.5
Bruno Fernando,C,6.5,9.375
Dariq Whitehead,SG,6.5,11.5
Moses Brown,C,6.5,11.9
Max Christie,SG,6.5,15.4
Olivier-Maxence Prosper,PF,6.5,11
Marcus Sasser,PG,6.5,7.25
Alex Len,C,6.5,9.3
Caleb Houstan,SG,6.5,11.9
MarJon Beauchamp,SG,6.5,9.85
Dalen Terry,SF,6.5,11.075
Luka Samanic,PF,6.5,5.9
Leonard Miller,PF,6.5,8.75
Trent Forrest,PG,6.5,8.425
Lamar Stevens,SF,6.5,8.125
Brandon Boston Jr.,SG,6.5,8.1
James Bouknight,SG,6.5,6.025
Miles McBride,PG,6.5,7.25
Wesley Matthews,SG,6.5,4.1
Damian Jones,C,6.5,6.775
Leaky Black,SF,6.5,5.25
Harry Giles III,PF,6.5,4.15
Greg Brown III,PF,6.5,9.525
Danuel House Jr.,PF,6.5,4.125
Terry Taylor,PF,6.5,6.375
Patrick Baldwin Jr.,SF,6.5,0.625
Lindy Waters III,SF,6.5,6
Thaddeus Young,PF,6.5,6.4
Jake LaRavia,SF,6.5,7.25
Jericho Sims,C,6.5,0.375
Anthony Gill,PF,6.5,5.8
Eugene Omoruyi,SF,6.5,7.3
Braxton Key,PF,6.5,4.6
Adama Sanogo,PF,6.5,5.05
Isaiah Mobley,PF,6.5,5
Svi Mykhailiuk,SG,6.5,5.275
R.J. Hampton,SG,6.5,3.875
Dalano Banton,PG,6.5,4.45
Cory Joseph,PG,6.5,3.425
Lonnie Walker IV,SG,6.5,2.25
Furkan Korkmaz,SF,6.5,1.675
Luka Garza,C,6.5,2.75
Admiral Schofield,SF,6.5,3.275
Robin Lopez,C,6.5,3.225
Kessler Edwards,SF,6.5,4.225
Kira Lewis Jr.,PG,6.5,2.75
Usman Garuba,PF,6.5,1.75
Jaylen Nowell,SG,6.5,
Collin Gillespie,PG,6.5,0.375
Kobe Bufkin,PG,6.5,
Frank Ntilikina,PG,6.5,
Onuralp Bitim,SG,6.5,
Joe Wieskamp,SG,6.5,
Shaquille Harrison,PG,6.5,
AJ Green,SG,6.5,
EJ Liddell,PF,6.5,1.5
Kevon Harris,SG,6.5,
Danny Green,SG,6.5,
Justin Minaya,SF,6.5,
Markquis Nowell,PG,6.5,
Mamadi  Diakite ,PF,6.5,
Trayce Jackson-Davis,C,6.3,25.675
Vince Williams Jr.,SG,6,21.025
Toumani Camara,SF,6,17.425
Duop Reath,C,6,20.2
Chimezie Metu,PF,6,17.25
Trevelin Queen,SG,6,11.95
Jamal Cain,SF,6,12.95
Neemias Queta,C,6,14.3
Dominick Barlow,PF,6,14.4
Jacob Gilyard,PG,6,18.375
Jalen Wilson,SF,6,12.55
Saben Lee,PG,6,9
Jontay Porter,C,6,10.025
Ibou Badji,C,6,8.7
A.J. Lawson,SG,6,13.8
Jermaine Samuels Jr.,PF,6,9.25
Udoka Azubuike,C,6,9.125
Colin Castleton,C,6,
Garrison Mathews,SG,6,7.125
Jordan Ford,PG,6,
Jaden Springer,SG,6,4.225
Gui  Santos,SF,6,7.25
Ryan Rollins,PG,6,7.125
Nate Hinton,SG,6,7
Rayan Rupert,SG,6,6.625
Kobe Brown,PF,6,6
Orlando Robinson,C,6,1.125
Olivier Sarr,C,6,5.65
Emoni Bates,SF,6,5.275
Ben Sheppard,SF,6,2.625
Drew Peterson,PF,6,5
Sidy Cissoko,SG,6,4.975
Oscar Tshiebwe,C,6,2
Boban Marjanovic,C,6,4.25
Xavier Moon,SG,6,
Lester Quinones,SG,6,5.375
Jalen Pickett,SG,6,2.575
Josh Minott,PF,6,2.8
Chris Livingston,SF,6,2.625
Amari Bailey,PG,6,
Micah Potter,C,6,
Seth Lundy,SG,6,2.6
Julian Phillips,SF,6,2.55
Charlie Brown Jr.,SG,6,1.75
Cole Swider,PF,6,1.675
Jerome Robinson,SG,6,2.225
Wendell Moore Jr.,SG,6,2.425
Colby Jones,SG,6,5.8
Garrett Temple,SG,6,1.5
Johnny Juzang,SG,6,
JD Davison,PG,6,1.25
Hunter Tyson,SF,6,
Moussa Diabate,PF,6,1.25
Brice Sensabaugh,SF,6,1.25
Thanasis Antetokounmpo,SF,6,1.875
Ryan Arcidiacono,PG,6,0.8
Jordan Miller,SF,6,
Jacob Toppin,SF,6,0.75
Kendall Brown,SG,6,0
Isaiah Wong,PG,6,
Maxwell Lewis,SF,6,0
Daishen Nix,PG,6,
Ricky Council IV,SG,6,0
Jalen Slawson,PF,6,
Mouhamed Gueye,C,6,
Jordan Walsh,SF,6,
Henri Drell,SF,6,
Ty Jerome,PG,6,
Jay Huff,C,6,0
Malcolm Cazalon,SG,6,
Stanley Umude,SG,6,
Jared Rhoden,SG,6,
VÃ­t KrejÄÃ­,SG,6,
Dereon Seabron,SG,6,
Jaylen Martin,SF,6,
Dylan Windler,SF,6,
Keyontae Johnson,SF,6,
Terquavion Smith,PG,6,
Kevin Obanor,PF,6,
Javon Freeman-Liberty,SG,6,
Matt Ryan,PF,6,
GG Jackson II,PF,6,
